latitude,longitude,unique_squirrel_id,other_activities,lat_long
40.7954126939561,-73.9616999731028,36A-AM-1018-02,eating (red berries),POINT (-73.9616999731028 40.7954126939561)
40.7952007875354,-73.9611118778753,36A-PM-1013-01,burying,POINT (-73.9611118778753 40.7952007875354)
40.7725282708448,-73.9707937464541,10G-PM-1017-07,traveling,POINT (-73.9707937464541 40.7725282708448)
40.7737340720562,-73.9764850086767,8B-AM-1007-07,holding nut,POINT (-73.9764850086767 40.7737340720562)
40.7773492582138,-73.9691420412059,15E-PM-1008-03,walking,POINT (-73.9691420412059 40.7773492582138)
40.7825993867876,-73.9679686793869,21C-AM-1014-01,jumping back & forth on tree,POINT (-73.9679686793869 40.7825993867876)
40.7678749471267,-73.9792039071114,2C-AM-1010-07,#7 & #8 chased each other up diff tree,POINT (-73.9792039071114 40.76787494712671)
40.7691342079294,-73.9725897240269,6G-AM-1008-01,sitting,POINT (-73.9725897240269 40.7691342079294)
40.7668318394546,-73.9719729323923,4I-AM-1006-03,building nest!,POINT (-73.9719729323923 40.7668318394546)
40.7663063499207,-73.9764013589865,1F-PM-1019-03,hiding,POINT (-73.9764013589865 40.7663063499207)
40.768706748732,-73.9811585807616,2A-AM-1010-06,chasing #5,POINT (-73.9811585807616 40.768706748732)
40.7947945266515,-73.9512120949478,39I-PM-1013-01,digging,POINT (-73.9512120949478 40.7947945266515)
40.7701294635264,-73.974451175321,6E-PM-1010-04,chasing #3,POINT (-73.974451175321 40.7701294635264)
40.7939698757903,-73.9589096782789,35D-AM-1019-02,very quietly searching in long grass,POINT (-73.9589096782789 40.7939698757903)
40.7686815615335,-73.9763236949008,4D-PM-1008-12,was chased by # 11,POINT (-73.9763236949008 40.7686815615335)
40.7735537139641,-73.96859351775,11H-PM-1013-03,planting nut,POINT (-73.96859351775 40.7735537139641)
40.7912546691805,-73.959019987128,33E-PM-1012-05,playing,POINT (-73.959019987128 40.7912546691805)
40.777830911491,-73.964280573021,18I-PM-1007-08,canoodling w/ #9,POINT (-73.964280573021 40.777830911491)
40.7729256063889,-73.9704024529864,10G-AM-1006-04,chasing (#3),POINT (-73.9704024529864 40.7729256063889)
40.7877748374259,-73.9569324958684,30I-PM-1006-01,sitting there,POINT (-73.9569324958684 40.78777483742591)
40.7774474015189,-73.9699285688296,15D-AM-1007-08,chasing #7,POINT (-73.9699285688296 40.7774474015189)
40.7763703306736,-73.9701824376506,14E-AM-1008-21,walking,POINT (-73.9701824376506 40.7763703306736)
40.7720464606979,-73.9774928245781,6B-AM-1012-02,"walking,exploring - digging in flower bed",POINT (-73.9774928245781 40.7720464606979)
40.7656088463928,-73.9754527701832,1G-PM-1010-02,laying on tree branch,POINT (-73.9754527701832 40.7656088463928)
40.7762037110101,-73.9716624574422,13D-PM-1018-07,scratching,POINT (-73.9716624574422 40.7762037110101)
40.7710535931636,-73.9773083616259,6B-PM-1017-01,digging,POINT (-73.9773083616259 40.7710535931636)
40.7890778665307,-73.9662063642345,28A-PM-1007-04,looking at me & #5,POINT (-73.9662063642345 40.7890778665307)
40.7921648631096,-73.9616770335086,32C-PM-1013-13,buried nut,POINT (-73.9616770335086 40.7921648631096)
40.7710199108849,-73.9726090882487,7F-AM-1008-14,sitting,POINT (-73.9726090882487 40.7710199108849)
40.7686062296462,-73.9787608762005,3C-PM-1008-01,walked between trees,POINT (-73.9787608762005 40.7686062296462)
40.7744877026506,-73.9685709455958,12G-PM-1007-07,acorns,POINT (-73.9685709455958 40.7744877026506)
40.7933712188923,-73.9578658632957,35E-AM-1020-04,"hunkered down,tail over body; sitting perfectly still",POINT (-73.9578658632957 40.7933712188923)
40.7906130788763,-73.9602808042376,32E-AM-1007-14,falling,POINT (-73.9602808042376 40.7906130788763)
40.7763755560359,-73.970442878377,14E-AM-1008-22,burying,POINT (-73.970442878377 40.7763755560359)
40.7944134683406,-73.9601918930677,35C-AM-1007-01,sitting still,POINT (-73.9601918930677 40.7944134683406)
40.7941677113011,-73.961241953418,35B-PM-1013-07,"got fed twice by grandpa,grabbed from grass and ate in tree",POINT (-73.961241953418 40.7941677113011)
40.7781531021263,-73.9645365195454,18H-AM-1018-02,playing?,POINT (-73.9645365195454 40.7781531021263)
40.789081044511,-73.9641989914569,28B-AM-1007-01,wresting w/ branch,POINT (-73.9641989914569 40.789081044511)
40.7969457685677,-73.9555856074105,40E-AM-1014-04,hiding from bird,POINT (-73.9555856074105 40.79694576856771)
